District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,1542806,1226399,316407,1152285,390521,3047032,175578,203029,99863,1064336,3537787,985070,20493,23883,3877,4975,504,13249
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,1204710,867393,337317,644869,559841,2200849,316891,507882,60774,319163,2975998,413243,3634,2424,722,397,602,8539
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,592267,494545,97722,474686,117581,1292937,245089,135679,43528,167971,1596278,276846,3137,3160,3161,487,100,2035
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,524676,430934,93742,419027,105649,1131940,239350,129517,51330,104479,1375788,273967,1263,504,2033,606,65,2390
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,506072,413713,92359,361588,144484,1075738,170827,158026,20803,156416,1457892,113961,1362,1045,1733,3917,94,1806
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,442023,364543,77480,325721,116302,937522,166731,151727,12533,111032,1273546,101963,1004,371,332,228,444,1657
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,628864,493991,134873,448651,180213,1167320,224986,234069,20783,149026,1612968,176327,1300,478,819,155,103,4034
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,1572232,1299871,272361,1229166,343066,3009036,198547,258790,68738,1046157,3792174,720660,15751,29676,2733,5710,589,13975
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,620764,470969,149795,420266,200498,1069210,196613,243035,26109,155007,1509708,171581,1148,463,2875,256,145,3798
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808,814914,565357,249557,560041,254873,1183689,228881,248072,48648,289313,1823930,147842,7050,4951,1203,7328,311,5988
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605,503351,326783,176568,357033,146318,718241,267580,131354,14882,89535,1163804,33724,1351,1034,69,20390,41,1179
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,443655,308527,135128,290375,153280,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,1604
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,349676,237153,112523,238712,110964,526282,114244,130422,13523,91487,815142,57454,965,389,94,234,157,1523
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,701689,485314,216375,483232,218457,1097721,251755,273458,19098,157378,1637549,157612,1367,231,168,916,50,1517
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733,394197,254977,139220,282614,111583,597533,160094,150695,12555,70853,955372,34559,693,63,101,285,27,630
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,1063929,713736,350193,670156,393773,1568804,328758,425366,51555,258250,2274674,350700,2201,402,172,199,47,4338
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,1066601,704569,362032,553013,513588,2142540,305746,386563,68642,305650,2731351,452394,3920,1451,7795,746,43,11441
