District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated
394,ORISSA,Nuapada,610382,301962,308420,299383,180903,118480,305438,168155,137283,151694,153744,304944,94692,149834,8641,52271,601092,4952,1778,724,76,905,22,833
395,ORISSA,Kalahandi,1576869,787101,789768,802036,484177,317859,751930,447290,304640,376757,375173,824939,144991,436733,18453,151753,1555367,4975,11160,796,175,1225,220,2951
396,ORISSA,Rayagada,967911,471960,495951,407735,241959,165776,467122,258032,209090,227815,239307,500789,99265,248175,9959,109723,874445,4607,84916,219,249,123,44,3308
397,ORISSA,Nabarangapur,1220946,604812,616134,470379,286984,183395,610906,342641,268265,279115,331791,610040,173086,328783,14409,94628,1178005,6753,32152,169,189,325,54,3299
398,ORISSA,Koraput,1379647,678809,700838,568090,340843,227247,693406,384053,309353,396460,296946,686241,207194,290626,14416,181170,1294151,8850,68550,518,219,491,3384,3484
399,ORISSA,Malkangiri,613192,303624,309568,244706,147001,97705,310666,170495,140171,179030,131636,302526,151260,106353,7725,45328,600219,1871,10039,213,43,195,35,577
400,CHHATTISGARH,Koriya,658917,334737,324180,397823,229923,167900,307071,185483,121588,173057,134014,351846,118498,94648,4830,89095,604259,25878,9398,1391,84,1155,15474,1278
401,CHHATTISGARH,Surguja,2359886,1193129,1166757,1187941,694686,493255,1155807,649888,505919,622589,533218,1204079,465287,523356,12643,154521,2126195,81442,97432,2303,1287,623,48295,2309
402,CHHATTISGARH,Jashpur,851669,424747,426922,495415,280656,214759,487360,263645,223715,291349,196011,364309,226866,197558,7553,55383,629509,15336,189588,474,467,694,14835,766
403,CHHATTISGARH,Raigarh,1493984,750278,743706,951639,542756,408883,690167,429211,260956,484875,205292,803817,208313,323788,9959,148107,1422986,17332,47653,2117,781,409,1782,924
404,CHHATTISGARH,Korba,1206640,612915,593725,748759,433391,315368,521186,333329,187857,350314,170872,685454,113071,221806,7899,178410,1133176,30195,21059,3666,897,753,15649,1245
405,CHHATTISGARH,Janjgir - Champa,1619707,815717,803990,1019634,593679,425955,846466,478278,368188,461887,384579,773241,281266,402359,15828,147013,1597089,14173,2926,635,556,707,2220,1401
406,CHHATTISGARH,Bilaspur,2663629,1351574,1312055,1596560,932474,664086,1203197,715467,487730,826568,376629,1460432,276691,572292,21658,332556,2540763,57973,20745,6373,2979,2357,29122,3317
407,CHHATTISGARH,Kabeerdham,822526,412058,410468,414167,248503,165664,404156,217073,187083,316976,87180,418370,167662,185850,3046,47598,776013,12206,980,924,433,1167,30222,581
408,CHHATTISGARH,Rajnandgaon,1537133,762855,774278,1008379,561355,447024,800092,436611,363481,595959,204133,737041,342116,290108,10847,157021,1399658,23648,5193,3761,28541,8187,67444,701
409,CHHATTISGARH,Durg,3343872,1682101,1661771,2303378,1284612,1018766,1496805,921729,575076,1206793,290012,1847067,392341,560415,22565,521484,3129745,83499,24304,24276,19587,17209,42569,2683
410,CHHATTISGARH,Raipur,4063872,2048186,2015686,2629749,1493158,1136591,1757664,1099964,657700,1259138,498526,2306208,383279,708993,34078,631314,3881485,103038,23181,16707,8397,17137,10680,3247
411,CHHATTISGARH,Mahasamund,1032754,511967,520787,637963,364089,273874,499260,291858,207402,340802,158458,533494,139199,278073,6135,75853,1008061,12570,5284,2941,521,1495,1417,465
412,CHHATTISGARH,Dhamtari,799781,397897,401884,546833,303924,242909,402895,226382,176513,335368,67527,396886,135435,182602,7310,77548,777188,10425,2644,1196,667,3612,3685,364
413,CHHATTISGARH,Uttar Bastar Kanker,748941,373338,375603,456042,258298,197744,389359,217513,171846,285536,103823,359582,194018,129142,7811,58388,627460,6040,4007,552,2213,1071,105869,1729
414,CHHATTISGARH,Bastar,1413199,698487,714712,650863,382335,268528,726531,404364,322167,394824,331707,686668,284472,287828,10821,143410,1277975,12413,27951,2099,985,3466,86925,1385
415,CHHATTISGARH,Narayanpur,139820,70104,69716,56621,33449,23172,71089,38186,32903,42056,29033,68731,44389,13820,939,11941,129161,776,600,96,71,409,8542,165
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,264142,269496,191237,116529,74708,286595,153294,133301,184285,102310,247043,165389,69385,2310,49511,513915,6437,4888,457,352,1044,6071,474
417,CHHATTISGARH,Bijapur,255230,128663,126567,86919,54076,32843,134525,71591,62934,69338,65187,120705,66504,49859,1399,16763,245151,1617,2709,68,1649,15,3793,228
418,MADHYA PRADESH,Sheopur,687861,361784,326077,328025,208201,119824,277455,183788,93667,196189,81266,410406,106745,115261,4166,51283,638702,41396,230,6387,201,379,40,526
419,MADHYA PRADESH,Morena,1965970,1068417,897553,1179685,747652,432033,675993,525329,150664,520970,155023,1289977,304674,148222,16354,206743,1875495,76159,1092,557,3234,6681,92,2660
420,MADHYA PRADESH,Bhind,1703005,926843,776162,1094917,676513,418404,520768,455775,64993,422111,98657,1182237,231185,158266,9838,121479,1595400,66776,973,4047,12215,19950,73,3571
421,MADHYA PRADESH,Gwalior,2032036,1090327,941709,1357210,803114,554096,685311,548820,136491,559845,125466,1346725,130586,120348,22592,411785,1835299,141735,4119,24790,4361,18058,217,3457
422,MADHYA PRADESH,Datia,786754,420157,366597,491445,303815,187630,321160,225662,95498,247229,73931,465594,152903,93744,6839,67674,747693,28483,683,490,7923,453,10,1019
423,MADHYA PRADESH,Shivpuri,1726050,919795,806255,900846,573242,327604,759281,481001,278280,577723,181558,966769,383340,220440,13079,142422,1648749,51200,1117,7151,3421,12171,72,2169
424,MADHYA PRADESH,Tikamgarh,1445166,760355,684811,747940,459353,288587,655318,402776,252542,470432,184886,789848,305859,223852,15622,109985,1383475,44143,588,251,109,15569,39,992
425,MADHYA PRADESH,Chhatarpur,1762375,936121,826254,943033,572010,371023,751797,481518,270279,553862,197935,1010578,302228,238364,26390,184815,1676918,70351,1980,968,250,10409,102,1397
426,MADHYA PRADESH,Panna,1016520,533480,483040,552559,332140,220419,431998,275375,156623,276633,155365,584522,135445,198847,12201,85505,974748,35214,418,186,37,4734,218,965
427,MADHYA PRADESH,Sagar,2378458,1256257,1122201,1545719,908607,637112,1006035,682077,323958,779093,226942,1372423,203600,378560,140458,283417,2198297,103480,5580,4146,991,62992,168,2804
428,MADHYA PRADESH,Damoh,1264219,661873,602346,747715,445737,301978,574595,367711,206884,389993,184602,689624,114611,250165,67383,142436,1186420,47966,1681,1096,119,25005,82,1850
429,MADHYA PRADESH,Satna,2228935,1157495,1071440,1371781,801051,570730,911349,590487,320862,612510,298839,1317586,227967,371584,46056,265742,2158623,59471,2228,1163,364,3135,1689,2262
430,MADHYA PRADESH,Rewa,2365106,1225100,1140006,1441757,845572,596185,991946,617184,374762,630251,361695,1373160,258321,463506,50878,219241,2268838,85414,1964,832,986,655,232,6185
431,MADHYA PRADESH,Umaria,644758,330674,314084,356672,210907,145765,289691,175698,113993,138600,151091,355067,65369,145690,8767,69865,620515,15966,667,190,70,220,6028,1102
432,MADHYA PRADESH,Neemuch,826067,422653,403414,508834,307889,200945,418682,245708,172974,358500,60182,407385,175602,136330,4020,102730,741288,67324,1508,1110,224,14165,115,333
433,MADHYA PRADESH,Mandsaur,1340411,682851,657560,834591,502898,331693,679723,397714,282009,535066,144657,660688,281465,266350,8556,123352,1192588,125548,1120,849,242,19029,77,958
434,MADHYA PRADESH,Ratlam,1455069,738241,716828,825880,485090,340790,690980,411446,279534,471139,219841,764089,218692,305946,11928,154414,1267043,151071,3996,1353,175,29353,123,1955
435,MADHYA PRADESH,Ujjain,1986864,1016289,970575,1240990,730817,510173,897442,569425,328017,682115,215327,1089422,289013,302003,19678,286748,1718204,233133,4659,3241,945,24622,211,1849
436,MADHYA PRADESH,Shajapur,1512681,780520,732161,894612,543509,351103,717871,431857,286014,508833,209038,794810,287924,303157,8809,117981,1321003,174724,815,631,179,13755,66,1508
437,MADHYA PRADESH,Dewas,1563715,805359,758356,925369,550716,374653,742676,451501,291175,528526,214150,821039,260222,310606,11816,160032,1376591,174259,2355,2330,382,6497,72,1229
438,MADHYA PRADESH,Dhar,2185793,1112725,1073068,1077338,638479,438859,1027974,597079,430895,783019,244955,1157819,385522,437437,15830,189185,2051219,116202,2261,1607,328,12199,88,1889
439,MADHYA PRADESH,Indore,3276697,1699627,1577070,2309130,1289631,1019499,1268195,939055,329140,1137251,130944,2008502,150907,185528,43584,888176,2728225,415142,18523,25696,11496,71667,720,5228
440,MADHYA PRADESH,Khargone (West Nimar),1873046,953121,919925,986234,575428,410806,894119,518254,375865,756735,137384,978927,307085,425712,11524,149798,1725441,135085,2075,2896,284,6028,89,1148
441,MADHYA PRADESH,Barwani,1385881,699340,686541,549926,313642,236284,653897,365928,287969,525791,128106,731984,287704,267196,7451,91546,1318869,58222,2967,2361,416,2289,263,494
442,MADHYA PRADESH,Rajgarh,1545814,790212,755602,804245,488797,315448,745603,429768,315835,471773,273830,800211,285095,330820,12123,117565,1433879,106928,1243,460,121,1599,50,1534
443,MADHYA PRADESH,Vidisha,1458875,769568,689307,862918,512344,350574,550402,401583,148819,397283,153119,908473,168615,228308,12408,141071,1287391,149548,1313,914,295,18490,70,854
444,MADHYA PRADESH,Bhopal,2371061,1236130,1134931,1660690,920314,740376,867457,644960,222497,706036,161421,1503604,73346,105195,24732,664184,1755861,525434,23432,10789,21688,25950,335,7572
445,MADHYA PRADESH,Sehore,1311332,683743,627589,780362,469208,311154,586087,364559,221528,372150,213937,725245,201307,227026,9917,147837,1163607,137980,1404,640,357,6232,66,1046
446,MADHYA PRADESH,Raisen,1331597,700358,631239,820220,479093,341127,517838,370366,147472,370241,147597,813759,138725,228151,17316,133646,1195235,120331,1725,2262,253,10637,190,964
447,MADHYA PRADESH,Betul,1575362,799236,776126,939769,529783,409986,786980,453887,333093,511287,275693,788382,253602,358157,11849,163372,1505745,37590,3271,1078,9651,3759,13048,1220
448,MADHYA PRADESH,Harda,570465,294838,275627,352550,203807,148743,230979,156852,74127,163781,67198,339486,68019,101256,6459,55245,527462,38640,683,676,93,1573,55,1283
449,MADHYA PRADESH,Hoshangabad,1241350,648725,592625,810644,469199,341445,478082,345435,132647,361648,116434,763268,116440,181967,9982,169693,1175203,52269,4453,3127,1550,3888,107,753
450,MADHYA PRADESH,Katni,1292042,662013,630029,790773,460583,330190,543874,348410,195464,316144,227730,748168,112812,223902,31261,175899,1240650,37232,3158,1167,157,5342,2643,1693
451,MADHYA PRADESH,Jabalpur,2463289,1277278,1186011,1756468,980307,776161,1005624,705970,299654,744287,261337,1457665,106882,283636,69946,545160,2159065,203652,23142,13256,4320,33728,21010,5116
452,MADHYA PRADESH,Narsimhapur,1091854,568810,523044,718785,413491,305294,477818,323464,154354,358203,119615,614036,113866,257865,10594,95493,1038628,39048,914,997,262,8125,2873,1007
453,MADHYA PRADESH,Dindori,704524,351913,352611,378714,222759,155955,389925,203383,186542,250137,139788,314599,150084,190962,7958,40921,605435,6736,4238,260,61,687,84006,3101
454,MADHYA PRADESH,Mandla,1054905,525272,529633,604962,348033,256929,559649,300235,259414,325159,234490,495256,148931,318909,9453,82356,849518,16558,12450,436,297,1789,170533,3324
455,MADHYA PRADESH,Chhindwara,2090922,1064468,1026454,1294198,731294,562904,957984,582263,375721,673845,284139,1132938,283111,422668,14585,237620,1923920,100692,4893,2258,24471,7830,25771,1087
456,MADHYA PRADESH,Seoni,1379131,695879,683252,864194,485341,378853,684434,394660,289774,397575,286859,694697,173665,376404,11957,122408,1145052,79739,1857,360,7288,4982,135315,4538
457,MADHYA PRADESH,Balaghat,1701698,842178,859520,1147623,626468,521155,893014,488610,404404,530506,362508,808684,257785,459796,19245,156188,1519384,38542,5295,1050,72162,4778,58064,2423
458,MADHYA PRADESH,Guna,1241519,649362,592157,653980,400537,253443,514897,335454,179443,353671,161226,726622,213949,175615,12079,113254,1172248,49203,1208,3271,529,13474,52,1534
459,MADHYA PRADESH,Ashoknagar,845071,443837,401234,469109,290304,178805,315270,231829,83441,241288,73982,529801,116913,122387,10559,65411,778214,40707,635,8009,1352,15094,27,1033
460,MADHYA PRADESH,Shahdol,1066063,540021,526042,604194,348761,255433,493057,292402,200655,240811,252246,573006,95795,258991,14329,123942,997073,42426,2372,912,268,1737,19448,1827
461,MADHYA PRADESH,Anuppur,749237,379114,370123,436595,254120,182475,346471,207401,139070,227040,119431,402766,115448,130376,7051,93596,686524,21473,2132,606,86,1653,35434,1329
462,MADHYA PRADESH,Sidhi,1127033,575912,551121,600785,353030,247755,461760,284289,177471,275482,186278,665273,102644,262030,15654,81432,1077545,34419,511,128,92,93,12556,1689
463,MADHYA PRADESH,Singrauli,1178273,613637,564636,585054,359923,225131,499439,304234,195205,348393,151046,678834,147732,228472,8856,114379,1118998,46574,2332,1422,338,182,6139,2288
464,MADHYA PRADESH,Jhabua,1025048,515023,510025,352081,214582,137499,515121,265489,249632,370641,144480,509927,329175,115649,5132,65165,960925,15733,38423,141,65,8871,388,502
465,MADHYA PRADESH,Alirajpur,728999,362542,366457,209754,120905,88849,366797,188698,178099,265029,101768,362202,256393,73693,4066,32645,705060,17660,4600,65,36,780,271,527
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,674329,635732,731615,432259,299356,612976,369676,243300,492393,120583,697085,179337,306623,9852,117164,1182330,116277,2800,1726,1425,3856,158,1489
467,MADHYA PRADESH,Burhanpur,757847,388504,369343,408679,233073,175606,328339,211925,116414,274900,53439,429508,67799,156295,8077,96168,552526,180840,1199,1074,19883,1884,99,342
468,GUJARAT,Kachchh,2092371,1096737,995634,1252319,739239,513080,776228,624704,151524,686937,89291,1316143,105876,183971,10802,475579,1608921,442355,6192,6353,490,25312,98,2650
469,GUJARAT,Banas Kantha,3120506,1610379,1510127,1704923,1048402,656521,1248600,836268,412332,1012080,236520,1871906,475585,350541,11812,410662,2890305,213505,1686,486,281,12659,83,1501
470,GUJARAT,Patan,1343734,694397,649337,837913,494631,343282,554830,383074,171756,446240,108590,788904,136590,227080,6392,184768,1194745,142797,916,337,66,3602,66,1205
471,GUJARAT,Mahesana,2035064,1056520,978544,1502645,847499,655146,812064,588699,223365,698768,113296,1223000,189760,242969,10282,369053,1885732,136431,1954,1082,146,7087,88,2544
472,GUJARAT,Sabar Kantha,2428589,1244231,1184358,1578734,918625,660109,1084878,681435,403443,795096,289782,1343711,366711,333867,10909,373391,2260560,148563,6375,614,168,11110,52,1147
473,GUJARAT,Gandhinagar,1391753,723864,667889,1030494,582686,447808,534976,408075,126901,451951,83025,856777,104147,129356,8600,292873,1319586,57273,3237,1985,497,6405,82,2688
474,GUJARAT,Ahmadabad,7214225,3788051,3426174,5435760,3025463,2410297,2594952,2127547,467405,2332409,262543,4619273,142670,268954,54876,2128452,6042416,883238,50754,14542,4518,209287,2055,7415
475,GUJARAT,Surendranagar,1756268,909917,846351,1093626,643221,450405,723500,504038,219462,586364,137136,1032768,185235,270861,9518,257886,1620282,109681,1419,512,312,22992,128,942
476,GUJARAT,Rajkot,3804558,1974445,1830113,2725056,1514075,1210981,1479050,1159480,319570,1324783,154267,2325508,349357,214285,23780,891628,3397406,361388,5478,1918,1170,33591,269,3338
477,GUJARAT,Jamnagar,2160119,1114192,1045927,1396534,795140,601394,847440,646822,200618,721253,126187,1312679,264318,147193,11359,424570,1810443,320805,4392,1873,1086,18856,136,2528
478,GUJARAT,Porbandar,585449,300209,285240,393678,221621,172057,231169,174118,57051,195437,35732,354280,65702,48964,2371,114132,549749,33565,500,248,91,515,38,743
479,GUJARAT,Junagadh,2743082,1404356,1338726,1842818,1046981,795837,1123709,801859,321850,942709,181000,1619373,367311,333996,9645,412757,2397056,334858,2586,1110,1291,3841,77,2263
480,GUJARAT,Amreli,1514190,771049,743141,995459,558180,437279,657139,453642,203497,529153,127986,857051,232126,209935,6083,208995,1410463,99105,919,415,243,2053,40,952
481,GUJARAT,Bhavnagar,2880365,1490201,1390164,1887255,1087371,799884,1150632,838781,311851,992140,158492,1729733,231796,334025,17996,566815,2632574,212863,3457,1410,445,26974,127,2515
482,GUJARAT,Anand,2092745,1087224,1005521,1551253,874481,676772,844794,627561,217233,690031,154763,1247951,152412,346329,16460,329593,1798794,250919,29789,1524,267,8591,142,2719
483,GUJARAT,Kheda,2299885,1185727,1114158,1660243,942480,717763,933983,674586,259397,722134,211849,1365902,239241,359842,12455,322445,2000884,264482,26629,1403,300,3479,82,2626
484,GUJARAT,Panch Mahals,2390776,1226961,1163815,1440805,858054,582751,1097507,673565,423942,685141,412366,1293269,456768,376038,10771,253930,2220974,158513,2863,662,337,5236,131,2060
485,GUJARAT,Dohad,2127086,1068651,1058435,1007171,599035,408136,999124,540881,458243,553395,445729,1127962,388612,438597,8815,163100,2045243,66353,9907,493,260,3331,114,1385
486,GUJARAT,Vadodara,4165626,2153736,2011890,2893080,1614087,1278993,1693473,1233312,460161,1360660,332813,2472153,312126,570361,17680,793306,3713941,384579,23813,9340,2069,27650,1124,3110
487,GUJARAT,Narmada,590297,301086,289211,370336,211767,158569,294795,174282,120513,193916,100879,295502,62823,188030,2594,41348,559848,22600,4413,147,80,373,2078,758
488,GUJARAT,Bharuch,1551019,805707,745312,1118276,623047,495229,627124,468919,158205,526541,100583,923895,78120,253577,8902,286525,1188204,343511,9494,1733,442,4813,342,2480
489,GUJARAT,The Dangs,228291,113821,114470,140968,77314,63654,118257,61329,56928,88038,30219,110034,64561,40486,1172,12038,203545,3593,20029,69,32,39,560,424
490,GUJARAT,Navsari,1329672,678165,651507,1001909,539471,462438,591834,407881,183953,510004,81830,737838,112809,206608,7173,265244,1225087,78669,5733,2459,601,13386,2823,914
491,GUJARAT,Valsad,1705678,887222,818456,1170657,655528,515129,743245,516188,227057,577327,165918,962433,147569,183025,11833,400818,1571147,94034,19661,1589,913,13809,1417,3108
492,GUJARAT,Surat,6081322,3402224,2679098,4571410,2687468,1883942,2553542,2142819,410723,2405288,148254,3527780,109549,325739,42040,2076214,5260193,660772,21052,5703,12902,112835,3920,3945
493,GUJARAT,Tapi,807022,402188,404834,490036,269007,221029,450902,251049,199853,337579,113323,356120,105726,254786,9679,80711,725890,22309,52930,239,1476,1828,408,1942
494,DAMAN AND DIU,Diu,52074,25642,26432,38058,20327,17731,15750,12932,2818,14718,1032,36324,471,291,275,14713,48613,3190,202,3,1,43,0,22
495,DAMAN AND DIU,Daman,191173,124659,66514,150348,104316,46032,105521,94502,11019,101717,3804,85652,1845,481,409,102786,171537,16087,2618,169,216,244,79,223
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,193760,149949,223230,142521,80709,157161,119293,37868,130299,26862,186548,28164,17799,2195,109003,322857,12922,5113,217,634,1186,293,487
497,MAHARASHTRA,Nandurbar,1648295,833170,815125,906509,512099,394410,792065,442898,349167,664193,127872,856230,211672,438176,14599,127618,1521618,96182,8467,685,4969,6191,2907,7276
498,MAHARASHTRA,Dhule,2050862,1054031,996831,1293916,723388,570528,936370,570448,365922,825875,110495,1114492,239139,429536,20646,247049,1825460,187901,3653,1422,13405,12818,912,5291
499,MAHARASHTRA,Jalgaon,4229917,2197365,2032552,2891882,1629223,1262659,1863571,1186472,677099,1643955,219616,2366346,384359,937174,38930,503108,3457615,560261,7091,3091,143865,27404,9662,20928
500,MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1048892,830982,1219641,734024,485617,1107542,112099,1366617,385447,603227,13770,217197,1845424,354236,3531,1668,364229,12242,522,4406
501,MAHARASHTRA,Akola,1813906,932334,881572,1411281,758977,652304,768154,520362,247792,691025,77129,1045752,129680,388521,9660,240293,1107809,357253,4483,1504,328033,10205,389,4230
502,MAHARASHTRA,Washim,1197160,620302,576858,869917,487703,382214,569792,340353,229439,502755,67037,627368,165598,310195,7122,86877,859949,142672,1707,518,179330,8476,381,4127
503,MAHARASHTRA,Amravati,2888445,1480768,1407677,2251875,1207104,1044771,1236322,837577,398745,1061544,174778,1652123,198793,667943,20998,348588,2055177,421410,7223,2242,383891,11360,3288,3854
504,MAHARASHTRA,Wardha,1300774,668385,632389,1019458,552617,466841,608235,392316,215919,529623,78612,692539,132989,282170,13785,179291,1057096,53854,2696,2147,175417,5663,2254,1647
505,MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588,1868560,1334211,534349,1654778,213782,2785010,206606,423587,52419,1185948,3492202,390974,34667,20469,668050,24528,12181,10499
506,MAHARASHTRA,Bhandara,1200334,605520,594814,899860,488709,411151,597305,345054,252251,413838,183467,603029,123099,312183,17169,144854,1009352,26502,2145,831,154458,1017,3555,2474
507,MAHARASHTRA,Gondiya,1322507,661554,660953,1004243,542837,461406,665419,383151,282268,433962,231457,657088,186509,281414,32525,164971,1153861,26157,1827,2160,125282,1568,5080,6572
508,MAHARASHTRA,Gadchiroli,1072942,541328,531614,708365,395110,313255,584237,323338,260899,392886,191351,488705,225358,247813,11321,99745,927411,21063,3872,681,82695,454,30047,6719
509,MAHARASHTRA,Chandrapur,2204307,1123834,1080473,1578615,872565,706050,1058172,648565,409607,804433,253739,1146135,220978,473983,21346,341865,1780085,92297,10701,5251,286734,3861,23188,2190
510,MAHARASHTRA,Yavatmal,2772348,1419965,1352383,2022574,1115980,906594,1355999,815475,540524,1195100,160899,1416349,333504,739718,17899,264878,2251401,239236,4567,1596,249874,11422,3745,10507
511,MAHARASHTRA,Nanded,3361292,1730075,1631217,2189425,1255222,934203,1493953,925232,568721,1317791,176162,1867339,447823,632395,29158,384577,2501741,471951,3902,13540,354189,5049,1273,9647
512,MAHARASHTRA,Hingoli,1177345,606294,571051,790743,450551,340192,569182,330903,238279,514371,54811,608163,241613,226483,8268,92818,863199,127552,992,643,176679,5278,103,2899
513,MAHARASHTRA,Parbhani,1836086,942870,893216,1157814,666291,491523,822797,501422,321375,756417,66380,1013289,295030,317806,13210,196751,1328385,306364,2081,1371,187899,6238,262,3486
514,MAHARASHTRA,Jalna,1959046,1011473,947573,1195523,699428,496095,930886,545030,385856,844492,86394,1028160,418952,300937,16705,194292,1504641,274221,12542,1629,152540,9619,336,3518
515,MAHARASHTRA,Aurangabad,3701282,1924469,1776813,2503837,1430936,1072901,1575079,1015864,559215,1446636,128443,2126203,554518,396630,28033,595898,2545438,786677,15991,5142,309093,30981,1005,6955
516,MAHARASHTRA,Nashik,6107187,3157186,2950001,4345366,2397538,1947828,2763328,1746286,1017042,2523023,240305,3343859,967385,730228,56132,1009583,5237009,693052,23946,8912,94783,38212,1795,9478
517,MAHARASHTRA,Thane,11060148,5865078,5195070,8227161,4591396,3635765,4492767,3363123,1129644,3930511,562256,6567381,349931,418004,124461,3600371,8716055,1355630,280700,39149,449617,172052,9862,37083
518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639,7575485,4223029,3352456,3735021,2944322,790699,3515922,219099,5621941,16086,20722,118816,3579397,6337132,1795788,322476,47288,469568,343639,18345,22726
519,MAHARASHTRA,Mumbai,3085411,1684608,1400803,2509022,1410680,1098342,1284396,1021009,263387,1209334,75062,1801015,6051,5745,45538,1227062,1873762,773173,84555,13471,134257,166000,31094,9099
520,MAHARASHTRA,Raigarh,2634200,1344345,1289855,1939994,1059692,880302,1072969,753843,319126,858825,214144,1561231,206975,191182,32919,641893,2239370,227465,17452,7477,121791,12260,1159,7226
521,MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,3940210,3231513,4048993,2809816,1239177,3751221,297772,5380415,886530,414461,105711,2642291,8090254,673704,134192,27090,340404,127786,9873,26105
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535,2204590,1300309,904281,2039455,165135,2338569,1013050,559009,57156,575375,4107143,320743,22766,5431,33898,38718,1408,13052
523,MAHARASHTRA,Bid,2585049,1349106,1235943,1718507,987185,731322,1255548,727819,527729,1154708,100840,1329501,606280,373566,21093,254609,2174672,320395,2097,824,68482,8719,399,9461
524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240,1046857,670018,376839,964177,82680,1407339,331780,416578,17663,280836,2006984,367664,2387,935,66535,6387,310,2994
525,MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,644304,493506,773916,473795,300121,701894,72022,883660,297361,299525,19831,157199,1437623,178925,942,340,28216,4530,195,6805
526,MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1651266,1259410,1898395,1206933,691462,1763175,135220,2419361,637250,558334,71106,631705,3795424,441254,9882,1279,35497,28134,568,5718
527,MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1201034,1024660,1354947,844805,510142,1184407,170540,1648794,585876,297241,39772,432058,2691952,146970,4408,1182,141315,12810,676,4428
528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380,714076,407008,307068,554973,159103,900993,296913,153117,17230,246816,1307211,187197,1990,230,113467,3347,95,1532
529,MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,348289,317778,347178,229676,117502,226538,120640,502473,124812,81816,9679,130871,780384,26264,15471,219,24762,1046,53,1452
530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085,1704054,1125204,578850,1508563,195491,2171947,660872,266028,59932,717222,3379906,286558,15573,1570,29766,154882,1274,6472
531,MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1121550,927917,1215104,800214,414890,1074948,140156,1607039,480554,290693,40824,403033,2440312,239607,9098,1260,38210,87453,769,5434
532,ANDHRA PRADESH,Adilabad,2741239,1369597,1371642,1483347,856350,626997,1323667,748939,574728,1066460,257207,1417572,363737,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,22120
533,ANDHRA PRADESH,Nizamabad,2551335,1250641,1300694,1389810,790214,599596,1261076,684320,576756,1055965,205111,1290259,278102,448281,171311,363382,2123426,391596,19653,2357,1847,542,146,11768
534,ANDHRA PRADESH,Karimnagar,3776269,1880800,1895469,2206829,1257238,949591,1876768,1049463,827305,1590304,286464,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,115,12583
535,ANDHRA PRADESH,Medak,3033288,1523030,1510258,1637137,953406,683731,1442203,837874,604329,1195494,246709,1591085,353221,571129,67642,450211,2637313,342449,34301,1309,554,457,217,16688
536,ANDHRA PRADESH,Hyderabad,3943323,2018575,1924748,2892155,1542688,1349467,1413297,1045585,367712,1096081,317216,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,62142
537,ANDHRA PRADESH,Rangareddy,5296741,2701008,2595733,3538028,1948784,1589244,2196078,1488916,707162,1834777,361301,3100663,270925,349032,73387,1502734,4458858,617518,144037,8062,2041,3536,1629,61060
538,ANDHRA PRADESH,Mahbubnagar,4053028,2050386,2002642,1940646,1158386,782260,2082501,1140067,942434,1815643,266858,1970527,569142,931084,57846,524429,3673456,334172,21345,658,290,388,267,22452
539,ANDHRA PRADESH,Nalgonda,3488809,1759772,1729037,2001019,1160757,840262,1741693,976428,765265,1493419,248274,1747116,325224,863131,45124,508214,3249231,188646,35025,937,241,250,132,14347
540,ANDHRA PRADESH,Warangal,3512576,1759281,1753295,2065023,1179790,885233,1705655,960926,744729,1442197,263458,1806921,401646,758092,43550,502367,3273755,197333,31377,1453,253,569,126,7710
541,ANDHRA PRADESH,Khammam,2797370,1390988,1406382,1630234,901640,728594,1410062,802906,607156,1215871,194191,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,539,7829
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,1361376,1495381,857824,637557,1290288,766483,523805,936244,354044,1412826,165317,700833,34479,389659,2666950,9025,18879,193,77,160,106,7724
